timestamps,values,labels
1604937600000,0.3093434343434343,0
1604937900000,0.2803751803751804,0
1604938200000,0.278066378066378,0
1604938500000,0.23881673881673882,0
1604938800000,0.2294372294372294,0
1604939100000,0.2049062049062049,0
1604939400000,0.1746031746031746,0
1604939700000,0.1756132756132756,0
1604940000000,0.15757575757575756,0
1604940300000,0.14329004329004327,0
1604940600000,0.14098124098124099,0
1604940900000,0.13434343434343432,0
1604941200000,0.11746031746031747,0
1604941500000,0.113997113997114,0
1604941800000,0.11269841269841269,0
1604942100000,0.10317460317460318,0
1604942400000,0.09119769119769121,0
1604942700000,0.08686868686868687,0
1604943000000,0.08412698412698412,0
1604943300000,0.08455988455988456,0
1604943600000,0.09062049062049062,0
1604943900000,0.07113997113997114,0
1604944200000,0.10086580086580088,0
1604944500000,0.05613275613275613,0
1604944800000,0.06349206349206349,0
1604945100000,0.06060606060606061,0
1604945400000,0.05873015873015874,0
1604945700000,0.05613275613275613,0
1604946000000,0.05339105339105339,0
1604946300000,0.053246753246753244,0
1604946600000,0.05194805194805195,0
1604946900000,0.06926406926406926,0
1604947200000,0.05483405483405483,0
1604947500000,0.05497835497835498,0
1604947800000,0.0774891774891775,0
1604948100000,0.04098124098124098,0
1604948400000,0.042279942279942286,0
1604948700000,0.05266955266955267,0
1604949000000,0.05541125541125541,0
1604949300000,0.048196248196248195,0
1604949600000,0.048917748917748916,0
1604949900000,0.05122655122655123,0
1604950200000,0.05656565656565657,0
1604950500000,0.06002886002886003,0
1604950800000,0.05367965367965369,0
1604951100000,0.0531024531024531,0
1604951400000,0.05670995670995671,0
1604951700000,0.08037518037518038,0
1604952000000,0.05367965367965369,0
1604952300000,0.05483405483405483,0
1604952600000,0.05367965367965369,0
1604952900000,0.0582972582972583,0
1604953200000,0.05613275613275613,0
1604953500000,0.06464646464646465,0
1604953800000,0.07546897546897546,0
1604954100000,0.07258297258297258,0
1604954400000,0.07821067821067822,0
1604954700000,0.07272727272727272,0
1604955000000,0.08600288600288601,0
1604955300000,0.07994227994227994,0
1604955600000,0.11919191919191918,0
1604955900000,0.14906204906204903,0
1604956200000,0.1176046176046176,0
1604956500000,0.12034632034632035,0
1604956800000,0.13867243867243864,0
1604957100000,0.15064935064935064,0
1604957400000,0.14285714285714285,0
1604957700000,0.16262626262626262,0
1604958000000,0.174025974025974,0
1604958300000,0.17936507936507934,0
